Wed Mar 11 19:27:27 2015    dijresults.txt

         206015 function calls in 1.835 seconds

   Ordered by: cumulative time
   List reduced from 42 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.017    0.017    1.835    1.835 dijkstra.py:6(<module>)
        1    0.653    0.653    1.389    1.389 dijkstra.py:74(Dijkstra)
   136267    0.511    0.000    0.511    0.000 dijkstra.py:89(<genexpr>)
        1    0.409    0.409    0.409    0.409 {method 'readline' of 'file' objects}
    18095    0.200    0.000    0.200    0.000 {min}
     3734    0.006    0.000    0.015    0.000 dijkstra.py:48(addEdge)
    19900    0.014    0.000    0.014    0.000 {method 'iteritems' of 'dict' objects}
    19901    0.012    0.000    0.012    0.000 {len}
     3734    0.008    0.000    0.008    0.000 dijkstra.py:19(addAdjacentNode)
     3736    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      200    0.001    0.000    0.001    0.000 dijkstra.py:36(addNode)
        1    0.001    0.001    0.001    0.001 {open}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:379(realpath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:387(_joinrealpath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:139(islink)
      200    0.000    0.000    0.000    0.000 dijkstra.py:12(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {posix.lstat}
      207    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:365(abspath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:336(normpath)
        1    0.000    0.000    0.000    0.000 {map}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:59(isabs)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:68(join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:127(dirname)
        2    0.000    0.000    0.000    0.000 dijkstra.py:110(<lambda>)
